id	v1_100_S_mapping	v1_100_S_precision	v1_150_S_mapping	v1_150_S_precision	v1_300_S_mapping	v1_300_S_precision	v1v2_600_P_mapping	v1v2_600_P_precision	v1v3_600_P_mapping	v1v3_600_P_precision	v3_100_S_mapping	v3_100_S_precision	v3_150_S_mapping	v3_150_S_precision	v3_300_S_mapping	v3_300_S_precision	v3_300_P_mapping	v3_300_P_precision	v3v4_600_P_mapping	v3v4_600_P_precision	v3v5_600_P_mapping	v3v5_600_P_precision	v4_100_S_mapping	v4_100_S_precision	v4_150_S_mapping	v4_150_S_precision	v4_300_S_mapping	v4_300_S_precision	v4_300_P_mapping	v4_300_P_precision	v4v5_600_P_mapping	v4v5_600_P_precision	v4v6_600_P_mapping	v4v6_600_P_precision	v5_100_S_mapping	v5_100_S_precision	v5_150_S_mapping	v5_150_S_precision	v5_300_S_mapping	v5_300_S_precision	v5_200_P_mapping	v5_200_P_precision	v5v6_300_P_mapping	v5v6_300_P_precision	v6_100_S_mapping	v6_100_S_precision	v6_150_S_mapping	v6_150_S_precision	v6_300_S_mapping	v6_300_S_precision	v6_200_P_mapping	v6_200_P_precision	v6v8_600_P_mapping	v6v8_600_P_precision	v7_100_S_mapping	v7_100_S_precision	v7_150_S_mapping	v7_150_S_precision	v7_300_S_mapping	v7_300_S_precision	v7v8_600_P_mapping	v7v8_600_P_precision	v7v9_600_P_mapping	v7v9_600_P_precision
c__5bav_B12;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__A712011;	0.6	0.179357	0.6	0.179357	0.6	0.179357	0.6	0.179357	0.6	0.179357	0.6	0.179357	0.8	0.239143	0.8	0.239143	0.8	0.239143	0.4	0.119572	0.8	0.239143	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	0.8	0.239143	1	0.298929	0	0	0	0	0	0	0	0	0	0	1	0.298929	1	0.298929	1	0.298929	0.6	0.179357	0.2	0.059786
c__AAG;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.842105	0.25173	0.894737	0.267463	0.894737	0.267463	0	0	0.894737	0.267463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__AB16;	0.496622	0.315732	0.523649	0.37751	0.52027	0.391056	0.489865	0.364664	0.435811	0.328558	0.820946	0.530037	0.864865	0.588838	0.841216	0.602969	0.814189	0.564268	0.567568	0.408412	0.016892	0.010158	0.898649	0.63554	0.969595	0.693242	0.942568	0.68364	0.672297	0.483486	0.89527	0.654908	0.75	0.549221	0.695946	0.484608	0.722973	0.508934	0.709459	0.507967	0.662162	0.466187	0.087838	0.052475	0.861486	0.587074	0.912162	0.627914	0.915541	0.650204	0.807432	0.548047	0.753378	0.534277	0.64527	0.472716	0.679054	0.498694	0.658784	0.489812	0.530405	0.389796	0.351351	0.264211
c__ABS-6;	0.217391	0.064984	0.217391	0.064984	0.217391	0.064984	0.173913	0.051988	0.130435	0.038991	0.956522	0.246052	0.956522	0.272638	0.956522	0.285932	0.913043	0.266288	0.913043	0.272935	0	0	0.869565	0.253291	0.913043	0.266288	0.869565	0.253291	0.956522	0.279285	0	0	0.869565	0.259938	0.956522	0.212819	1	0.232462	0.956522	0.279285	0	0	1	0.292282	0.695652	0.194657	0.695652	0.194657	0.73913	0.220947	0.565217	0.162313	0.478261	0.142966	1	0.245756	1	0.259049	1	0.298929	0.695652	0.207951	0.173913	0.051988
c__ABS_6;	0.105263	0.031466	0.105263	0.031466	0.105263	0.031466	0.105263	0.031466	0.105263	0.031466	0.842105	0.2115	0.947368	0.259058	0.894737	0.267463	0.789474	0.219905	0.789474	0.235997	0	0	0.736842	0.18808	0.736842	0.18808	0.736842	0.196126	0.684211	0.180393	0	0	0.736842	0.220263	0.842105	0.227592	0.894737	0.243325	0.894737	0.259416	0	0	0.894737	0.259416	0.473684	0.133552	0.473684	0.141598	0.473684	0.141598	0.473684	0.133552	0.263158	0.078666	0.789474	0.219905	0.894737	0.259416	0.789474	0.235997	0.684211	0.204531	0.210526	0.062932
c__ABY1;	0.393333	0.117579	0.4	0.119572	0.386667	0.115586	0	0	0	0	0.94	0.280993	0.966667	0.288965	0.953333	0.284979	0	0	0.78	0.233165	0.266667	0.079714	0	0	0	0	0	0	0	0	0	0	0	0	0.226667	0.067757	0.24	0.071743	0.233333	0.06975	0.106667	0.031886	0.08	0.023914	0	0	0.006667	0.001993	0.006667	0.001993	0	0	0	0	0.293333	0.086667	0.306667	0.090653	0.293333	0.086667	0.253333	0.074709	0.086667	0.025907
c__Acetothermia;	0.153846	0.070556	0.153846	0.070556	0.230769	0.105835	0.153846	0.070556	0.076923	0.035278	0.846154	0.509474	0.846154	0.523631	0.846154	0.523631	0.846154	0.523631	0.846154	0.523631	0	0	0.923077	0.531795	1	0.594187	0.923077	0.558909	1	0.594187	0	0	0.615385	0.417797	1	0.594187	1	0.594187	1	0.594187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.384615	0.176391	0.384615	0.176391	0.384615	0.176391	0.307692	0.141113	0.307692	0.141113
c__Acidimicrobiia;	0.354487	0.209862	0.375	0.22701	0.366667	0.224413	0.341026	0.207595	0.252564	0.153116	0.901923	0.517351	0.951923	0.571064	0.935256	0.578447	0.676282	0.401467	0.821154	0.509258	0.667308	0.416961	0.691026	0.415777	0.723077	0.437935	0.712179	0.434994	0.658333	0.400471	0.655128	0.401099	0.611538	0.375175	0.883333	0.523734	0.934615	0.564688	0.925641	0.571467	0.855128	0.513191	0.885256	0.545847	0.537821	0.310828	0.571795	0.336657	0.555769	0.342473	0.516026	0.295336	0.377564	0.231523	0.926923	0.521345	0.966026	0.573356	0.953846	0.591237	0.726282	0.4478	0.441026	0.273112
c__Acidobacteria-5;	0.196721	0.051287	0.196721	0.0563	0.196721	0.058806	0.196721	0.058806	0.180328	0.053905	0.918033	0.246859	0.95082	0.265432	0.95082	0.281721	0.918033	0.255631	0.819672	0.24377	0.655738	0.194766	0.901639	0.245718	0.97541	0.274036	0.95082	0.277963	0.893443	0.26081	0.909836	0.268217	0.827869	0.246221	0.885246	0.243324	0.92623	0.253125	0.893443	0.255798	0.901639	0.245718	0.909836	0.261952	0.934426	0.259278	0.983607	0.276486	0.967213	0.28161	0.92623	0.258081	0.827869	0.243715	0.92623	0.255631	0.959016	0.270388	0.95082	0.275456	0.877049	0.252151	0.688525	0.203314
c__Acidobacteria-6;	0.20756	0.090333	0.217182	0.09513	0.210997	0.10206	0.204811	0.099223	0.175945	0.085703	0.916838	0.353312	0.960825	0.453225	0.947079	0.45483	0.90378	0.427138	0.871478	0.423329	0.154639	0.074393	0.932646	0.381021	0.969759	0.442956	0.953952	0.453355	0.904467	0.42909	0.91134	0.436125	0.841237	0.408732	0.907904	0.306278	0.947079	0.332855	0.933333	0.42863	0.894158	0.308451	0.914089	0.417357	0.912027	0.400614	0.94433	0.410043	0.927835	0.440336	0.882474	0.386581	0.790378	0.380597	0.92646	0.392297	0.978007	0.431137	0.95945	0.451679	0.848797	0.399805	0.635739	0.305461
c__Acidobacteria;	0.205621	0.106328	0.212278	0.119583	0.204882	0.121715	0.196006	0.118515	0.16642	0.101871	0.901627	0.408139	0.945266	0.535681	0.936391	0.560157	0.878698	0.500116	0.818047	0.492288	0.326183	0.228118	0.894231	0.480355	0.941568	0.530093	0.936391	0.549248	0.83284	0.485124	0.886834	0.528702	0.803254	0.486074	0.864645	0.4643	0.913462	0.498593	0.900888	0.524938	0.838018	0.455999	0.865385	0.502179	0.867604	0.458745	0.905325	0.488213	0.880178	0.520695	0.835799	0.439932	0.738166	0.442285	0.914941	0.453083	0.963018	0.49354	0.941568	0.538729	0.829142	0.47002	0.513314	0.293911
c__Acidobacteriia;	0.210052	0.137091	0.222938	0.150532	0.217784	0.146729	0.208763	0.141643	0.203608	0.137213	0.912371	0.557381	0.966495	0.627661	0.957474	0.630135	0.917526	0.595749	0.867268	0.571428	0.728093	0.482739	0.926546	0.602665	0.970361	0.636088	0.948454	0.623531	0.893041	0.587597	0.899485	0.593798	0.811856	0.537188	0.907216	0.58677	0.949742	0.615955	0.939433	0.617431	0.886598	0.571801	0.905928	0.59619	0.876289	0.567744	0.923969	0.599593	0.918814	0.600309	0.845361	0.548134	0.791237	0.521972	0.926546	0.59195	0.975515	0.622787	0.957474	0.624773	0.871134	0.56716	0.545103	0.353115
c__Actinobacteria;	0.164487	0.11025	0.172765	0.134955	0.170116	0.136869	0.162086	0.13045	0.144454	0.116787	0.861589	0.527414	0.902897	0.689421	0.889735	0.725074	0.750166	0.563682	0.697103	0.566191	0.609272	0.500419	0.783113	0.596397	0.827318	0.654181	0.813825	0.653023	0.719205	0.574254	0.76904	0.621252	0.687583	0.561724	0.877815	0.664983	0.925331	0.710901	0.910927	0.740397	0.868957	0.659126	0.863079	0.698531	0.844454	0.658409	0.886093	0.695587	0.870778	0.70535	0.807202	0.623491	0.591887	0.481935	0.902566	0.641034	0.949669	0.709128	0.935762	0.751122	0.643046	0.512339	0.283195	0.229384
c__Aigarchaeota;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.818182	0.560149	0.909091	0.62552	0.909091	0.62552	0.727273	0.525715	0.818182	0.560149	0	0	0.909091	0.62552	0.909091	0.633885	0.909091	0.62552	0.818182	0.560149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Alphaproteobacteria;	0.307711	0.195994	0.322598	0.224927	0.316667	0.22779	0.296323	0.212391	0.293594	0.212747	0.897746	0.544885	0.940214	0.639433	0.924496	0.679906	0.87586	0.594797	0.812811	0.599018	0.712396	0.526981	0.89656	0.624295	0.944899	0.684415	0.928529	0.681175	0.851423	0.620518	0.876453	0.647354	0.781257	0.582332	0.873547	0.599495	0.917556	0.640598	0.903262	0.662975	0.818505	0.568484	0.854033	0.626275	0.135765	0.091066	0.141993	0.095351	0.13968	0.096658	0.121174	0.081508	0.108837	0.075605	0.890391	0.581563	0.939146	0.643045	0.924437	0.67177	0.78446	0.567314	0.443535	0.322876
c__Anaerolineae;	0.373832	0.240757	0.389648	0.257874	0.38138	0.258304	0.147017	0.097387	0.343638	0.234745	0.791517	0.495377	0.82207	0.533099	0.812365	0.539656	0.747304	0.485369	0.397196	0.260694	0.491014	0.340299	0.869159	0.550098	0.915528	0.58903	0.903666	0.589087	0.460101	0.29906	0.686556	0.462611	0.753415	0.498265	0.200935	0.116961	0.211718	0.123382	0.207405	0.123928	0.175413	0.103278	0.200575	0.119689	0.07261	0.047925	0.075845	0.050857	0.075126	0.05244	0.070093	0.046314	0.066139	0.046673	0.554996	0.317277	0.579799	0.341571	0.570453	0.350385	0.517613	0.316241	0.234004	0.147609
c__ANME-1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.822222	0.201623	0.933333	0.265412	0.911111	0.265563	0.822222	0.238992	0.866667	0.255675	0.133333	0.039857	0.822222	0.201623	0.888889	0.228346	0.844444	0.249032	0.822222	0.201623	0.111111	0.033214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__ANME_1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.914286	0.255836	0.971429	0.272917	0.971429	0.281652	0.914286	0.264571	0.942857	0.277479	0.085714	0.025622	0.885714	0.225456	0.971429	0.24671	0.942857	0.273112	0.914286	0.229628	0.085714	0.025622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Aquificae;	0.304348	0.22887	0.304348	0.227727	0.310559	0.243173	0.043478	0.037642	0.192547	0.147303	0.925466	0.66182	0.944099	0.722056	0.931677	0.723533	0.84472	0.650595	0.776398	0.612385	0.496894	0.389979	0.850932	0.62549	0.919255	0.679886	0.913043	0.699123	0.850932	0.653256	0.720497	0.556545	0.614907	0.481218	0.881988	0.656607	0.913043	0.678397	0.875776	0.690886	0.708075	0.523336	0.677019	0.524739	0	0	0	0	0	0	0	0	0	0	0.925466	0.682891	0.950311	0.708722	0.956522	0.739203	0.757764	0.59279	0.298137	0.242363
c__Archaeoglobi;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09375	0.07029	0.09375	0.07029	0.09375	0.076041	0.09375	0.07029	0.09375	0.076041	0	0	0.875	0.774647	0.9375	0.831244	0.96875	0.868397	0.90625	0.805897	0.15625	0.126734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Armatimonadia;	0.288462	0.191381	0.326923	0.217418	0.326923	0.219187	0	0	0.288462	0.191381	0	0	0	0	0	0	0	0	0	0	0	0	0.894231	0.602848	0.961538	0.662001	0.942308	0.653331	0.826923	0.57006	0.865385	0.601107	0.836538	0.57447	0.807692	0.545699	0.855769	0.569367	0.865385	0.597867	0.788462	0.526712	0.836538	0.57108	0	0	0	0	0	0	0	0	0	0	0.884615	0.581913	0.942308	0.637705	0.932692	0.638753	0.730769	0.48898	0.442308	0.29583
c__AT-s2-57;	0.416667	0.124554	0.416667	0.111814	0.416667	0.124554	0.416667	0.124554	0	0	1	0.248539	1	0.298929	1	0.298929	1	0.298929	0.833333	0.249107	0.333333	0.099643	0.833333	0.236368	0.833333	0.223628	1	0.28619	0.75	0.211457	1	0.298929	0.833333	0.249107	0.666667	0.199286	0.833333	0.249107	0.833333	0.249107	0.75	0.224197	0.75	0.224197	0.916667	0.274018	1	0.298929	1	0.298929	0.916667	0.274018	1	0.298929	0.833333	0.249107	0.916667	0.274018	1	0.298929	1	0.298929	0.583333	0.174375
c__AT-s54;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__At12OctB3;	0.375	0.112098	0.5	0.149465	0.5	0.149465	0.5	0.149465	0.375	0.112098	1	0.222492	1	0.241602	1	0.27982	0.75	0.166869	0.875	0.242454	0.625	0.167721	0.625	0.148612	0.75	0.185978	0.75	0.185978	0.75	0.185978	0.75	0.205088	0.75	0.205088	0.875	0.204236	0.875	0.204236	0.875	0.242454	0.875	0.204236	0.75	0.166869	0	0	0	0	0	0	0	0	0	0	0.125	0.037366	0.125	0.037366	0.125	0.037366	0.125	0.037366	0.125	0.037366
c__Atribacteria_Incertae_Sedis;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__AT_s2_57;	0.705882	0.202016	0.705882	0.211009	0.705882	0.211009	0.411765	0.123088	0.058824	0.017584	0.882353	0.228191	0.941176	0.272352	0.941176	0.281345	0.941176	0.281345	1	0.298929	0.176471	0.052752	1	0.280944	1	0.298929	0.941176	0.281345	1	0.298929	1	0.298929	0.882353	0.263761	0.941176	0.254367	1	0.271951	0.882353	0.254768	0.941176	0.254367	0.882353	0.254768	0.764706	0.219601	1	0.289936	1	0.298929	0.941176	0.272352	0.647059	0.193425	0.882353	0.227791	0.882353	0.227791	0.882353	0.263761	0.764706	0.228593	0.764706	0.228593
c__AT_s54;	0.428571	0.128112	0.428571	0.128112	0.428571	0.128112	0.428571	0.128112	0.142857	0.042704	0.857143	0.256225	1	0.298929	1	0.298929	0.857143	0.256225	0.857143	0.256225	0.142857	0.042704	1	0.298929	1	0.298929	0.857143	0.256225	1	0.298929	0.857143	0.256225	0.857143	0.256225	0.714286	0.213521	1	0.298929	1	0.298929	0.857143	0.256225	1	0.298929	0.428571	0.128112	0.428571	0.128112	0.428571	0.128112	0.285714	0.085408	0.428571	0.128112	1	0.298929	1	0.298929	1	0.298929	0.857143	0.256225	0.428571	0.128112
c__B04R032;	0.5	0.149465	0.5	0.149465	0.5	0.149465	0.5	0.149465	0	0	1	0.298929	1	0.298929	1	0.298929	1	0.298929	0.75	0.224197	0.5	0.149465	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	0.75	0.224197	0.75	0.224197	0.75	0.224197	0.75	0.224197	0.75	0.224197	0.75	0.224197	0.5	0.149465	0.5	0.149465	0.5	0.149465	0.5	0.149465	0.5	0.149465	1	0.298929	1	0.298929	1	0.298929	1	0.298929	0.25	0.074732
c__B142;	0.357143	0.10676	0.5	0.149465	0.5	0.149465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.128112	0.5	0.128112	0.5	0.128112	0.142857	0.021352	0.071429	0.021352
c__Bacilli;	0.189712	0.144036	0.19973	0.158806	0.196817	0.162283	0.18488	0.152257	0.11333	0.093914	0.857681	0.648279	0.901094	0.741663	0.887168	0.742806	0.749609	0.613269	0.752238	0.632686	0.25707	0.21529	0.779949	0.573519	0.818602	0.650359	0.807304	0.666842	0.701222	0.574431	0.702572	0.587787	0.661432	0.554752	0.838283	0.579513	0.879565	0.649379	0.865923	0.714083	0.768154	0.560289	0.801265	0.65721	0.816825	0.637951	0.857752	0.674727	0.841339	0.696754	0.763109	0.58832	0.513145	0.426858	0.890365	0.611628	0.936052	0.742895	0.922481	0.764548	0.598195	0.494417	0.202998	0.166663
c__Bacteroidia;	0.367925	0.248198	0.387736	0.270639	0.380189	0.27436	0.367655	0.265419	0.328774	0.240275	0.87655	0.617829	0.924528	0.680656	0.910849	0.678954	0.841375	0.619285	0.794407	0.596183	0.523383	0.394446	0.869272	0.627191	0.914353	0.670949	0.899394	0.667701	0.803976	0.595565	0.815296	0.60951	0.769609	0.577542	0.859299	0.625778	0.902695	0.659408	0.887601	0.663511	0.759299	0.553101	0.843464	0.628901	0.001685	0.000675	0.001752	0.000901	0.001752	0.001077	0.001685	0.00059	0.001348	0.000821	0.019744	0.010762	0.020687	0.011716	0.020553	0.012073	0.016577	0.009761	0.008154	0.004662
c__BB34;	0.291667	0.087188	0.291667	0.087188	0.291667	0.087188	0.25	0.074732	0.25	0.074732	0.958333	0.286474	1	0.298929	1	0.298929	0.708333	0.211741	0.875	0.261563	0	0	0.708333	0.211741	0.833333	0.249107	0.791667	0.236652	0.666667	0.199286	0	0	0.625	0.186831	1	0.298929	1	0.298929	1	0.298929	0	0	0.875	0.261563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__BD1-5;	0.4	0.07371	0.4	0.07371	0.4	0.104284	0.2	0.059786	0.4	0.119572	1	0.191918	1	0.253067	1	0.268354	1	0.253067	1	0.268354	0	0	1	0.268354	1	0.268354	1	0.268354	1	0.268354	0	0	0.6	0.16407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__BD1_5;	0.267606	0.079995	0.309859	0.092626	0.28169	0.084205	0.239437	0.071575	0.28169	0.084205	0.84507	0.252616	0.887324	0.265247	0.887324	0.265247	0.84507	0.252616	0.774648	0.231565	0	0	0.873239	0.261036	0.929577	0.277878	0.915493	0.273667	0.802817	0.239985	0	0	0.676056	0.202093	0.056338	0.016841	0.056338	0.016841	0.056338	0.016841	0	0	0.056338	0.016841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__BD4-9;	0.25	0	0.25	0.074732	0.25	0.074732	0	0	0.25	0.074732	1	0.184274	1	0.260711	1	0.260711	0.75	0.224197	0.5	0.111246	0.25	0.074732	1	0.222492	1	0.260711	1	0.260711	0.5	0.111246	1	0.260711	1	0.260711	0.5	0.111246	0.5	0.111246	0.5	0.111246	0.5	0.111246	0.5	0.111246	0	0	0	0	0	0	0	0	0	0	0.5	0.073028	0.5	0.073028	0.5	0.111246	0.25	0.074732	0.25	0.074732
