id	v1_100_S_mapping	v1_100_S_precision	v1_150_S_mapping	v1_150_S_precision	v1_300_S_mapping	v1_300_S_precision	v1v2_600_P_mapping	v1v2_600_P_precision	v1v3_600_P_mapping	v1v3_600_P_precision	v3_100_S_mapping	v3_100_S_precision	v3_150_S_mapping	v3_150_S_precision	v3_300_S_mapping	v3_300_S_precision	v3_300_P_mapping	v3_300_P_precision	v3v4_600_P_mapping	v3v4_600_P_precision	v3v5_600_P_mapping	v3v5_600_P_precision	v4_100_S_mapping	v4_100_S_precision	v4_150_S_mapping	v4_150_S_precision	v4_300_S_mapping	v4_300_S_precision	v4_300_P_mapping	v4_300_P_precision	v4v5_600_P_mapping	v4v5_600_P_precision	v4v6_600_P_mapping	v4v6_600_P_precision	v5_100_S_mapping	v5_100_S_precision	v5_150_S_mapping	v5_150_S_precision	v5_300_S_mapping	v5_300_S_precision	v5_200_P_mapping	v5_200_P_precision	v5v6_300_P_mapping	v5v6_300_P_precision	v6_100_S_mapping	v6_100_S_precision	v6_150_S_mapping	v6_150_S_precision	v6_300_S_mapping	v6_300_S_precision	v6_200_P_mapping	v6_200_P_precision	v6v8_600_P_mapping	v6v8_600_P_precision	v7_100_S_mapping	v7_100_S_precision	v7_150_S_mapping	v7_150_S_precision	v7_300_S_mapping	v7_300_S_precision	v7v8_600_P_mapping	v7v8_600_P_precision	v7v9_600_P_mapping	v7v9_600_P_precision
c__AD3;	0.229167	0.229167	0.229167	0.229167	0.229167	0.229167	0.208333	0.208333	0.145833	0.145833	0.9375	0.916667	0.958333	0.958333	0.916667	0.916667	0.833333	0.833333	0.875	0.875	0.291667	0.291667	0.916667	0.916667	0.9375	0.9375	0.9375	0.9375	0.833333	0.833333	0.354167	0.354167	0.833333	0.833333	0.895833	0.875	0.9375	0.895834	0.916667	0.895834	0.3125	0.291667	0.875	0.833333	0.583333	0.5625	0.5625	0.541667	0.583333	0.5625	0.5	0.479166	0.145833	0.145833	0.958333	0.770833	0.958333	0.8125	0.958333	0.958333	0.395833	0.395833	0.270833	0.270833
c__AKAU4049;	0.6	0.6	0.6	0.6	0.6	0.6	0.4	0.4	0	0	1	1	1	1	1	1	1	1	1	1	0.2	0.2	0.8	0.8	1	1	1	1	1	1	1	1	0.4	0.4	1	1	1	1	0.8	0.8	1	1	0.4	0.4	1	1	0.8	0.8	1	1	0.4	0.4	0.8	0.8	1	1	1	1	1	1	0.8	0.8	0.6	0.6
c__Alphaproteobacteria;	0.35134	0.253063	0.369663	0.292765	0.362489	0.29692	0.325929	0.263992	0.326102	0.269419	0.829991	0.548145	0.870787	0.668631	0.860156	0.701626	0.797061	0.612795	0.748055	0.611127	0.654019	0.535105	0.863526	0.685527	0.908816	0.741276	0.893691	0.7346	0.811322	0.664591	0.821348	0.676303	0.724978	0.596132	0.844598	0.662133	0.885739	0.701356	0.869231	0.713234	0.774762	0.609449	0.798012	0.651033	0.166033	0.134194	0.174589	0.141781	0.171997	0.1439	0.145895	0.116734	0.126621	0.105751	0.82178	0.582922	0.866292	0.64049	0.853933	0.688601	0.681504	0.545073	0.423336	0.344292
c__Aminicenantia;	0.416268	0.411483	0.425837	0.421052	0.435407	0.435407	0.406699	0.406699	0.330144	0.330144	0.866029	0.832536	0.894737	0.885168	0.875598	0.875598	0.827751	0.822967	0.803828	0.803828	0.569378	0.569378	0.856459	0.852373	0.909091	0.909091	0.899522	0.899522	0.870813	0.870813	0.822967	0.822967	0.712919	0.712919	0.889952	0.889952	0.942584	0.942584	0.942584	0.942584	0.799043	0.799043	0.84689	0.84689	0.598086	0.574163	0.617225	0.593301	0.61244	0.602871	0.550239	0.54067	0.54067	0.535885	0.856459	0.794258	0.904306	0.870813	0.885167	0.870813	0.779904	0.76555	0.444976	0.444976
c__Anaerolineae;	0.326802	0.275983	0.346397	0.293972	0.341656	0.292984	0.14507	0.140714	0.304362	0.260166	0.81732	0.673084	0.854614	0.711917	0.845449	0.717062	0.777181	0.64645	0.416561	0.371021	0.553413	0.463195	0.87579	0.746524	0.924779	0.789788	0.910556	0.779939	0.457649	0.407395	0.762642	0.647167	0.745259	0.641215	0.230405	0.198706	0.242415	0.209919	0.238306	0.210405	0.210809	0.180894	0.22756	0.201193	0.095133	0.074235	0.100822	0.079799	0.099241	0.08148	0.090708	0.06965	0.064791	0.055111	0.513274	0.413645	0.539191	0.448022	0.533502	0.457889	0.385588	0.335396	0.220923	0.190213
c__Aquificae;	0.421875	0.351113	0.46875	0.389134	0.453125	0.37646	0	0	0.265625	0.218476	0.859375	0.666094	0.921875	0.768698	0.921875	0.768698	0.8125	0.677033	0.8125	0.679984	0.375	0.321948	0.828125	0.656904	0.859375	0.712253	0.859375	0.715052	0.84375	0.705331	0.78125	0.657437	0.75	0.62929	0.875	0.733554	0.921875	0.768698	0.953125	0.796996	0.796875	0.67011	0.8125	0.674081	0.015625	0.012673	0.015625	0.012673	0.015625	0.012673	0.015625	0.012673	0	0	0.875	0.664359	0.9375	0.768698	0.921875	0.756025	0.734375	0.606819	0.40625	0.33844
c__Armatimonadia;	0.369369	0.356956	0.378378	0.374974	0.378378	0.374974	0.009009	0.009009	0.342342	0.338938	0.036036	0.018018	0.036036	0.027027	0.036036	0.036036	0.036036	0.036036	0.036036	0.036036	0.027027	0.027027	0.882883	0.855839	0.936937	0.919419	0.945946	0.935735	0.846847	0.827627	0.882883	0.872672	0.738739	0.728528	0.864865	0.839294	0.90991	0.887514	0.873874	0.863663	0.846847	0.821276	0.828829	0.818618	0	0	0.009009	0.009009	0	0	0	0	0	0	0.900901	0.87969	0.963964	0.947402	0.954955	0.946446	0.72973	0.721221	0.396396	0.389589
c__AT-s3-28;	0.521739	0.521739	0.521739	0.521739	0.521739	0.521739	0.434783	0.434783	0.043478	0.043478	0.913043	0.913043	0.956522	0.956522	0.913043	0.913043	0.956522	0.956522	0.782609	0.782609	0.043478	0.043478	0.956522	0.956522	1	1	0.956522	0.956522	0.869565	0.869565	0.913043	0.913043	0.695652	0.695652	0.913043	0.913043	0.913043	0.913043	0.869565	0.869565	0.869565	0.869565	0.913043	0.913043	0.652174	0.652174	0.695652	0.695652	0.652174	0.652174	0.608696	0.608696	0.521739	0.521739	0.956522	0.956522	1	1	1	1	0.826087	0.826087	0.565217	0.565217
c__Babeliae;	0.370763	0.365325	0.385593	0.382274	0.383475	0.380156	0.362288	0.358969	0.347458	0.346258	0.911017	0.899848	0.959746	0.956427	0.947034	0.945833	0.894068	0.892867	0.858051	0.856851	0.112288	0.111888	0.911017	0.905579	0.949153	0.945834	0.942797	0.941597	0.896186	0.895386	0.860169	0.858968	0.758475	0.757274	0.896186	0.895386	0.955508	0.954307	0.930085	0.928884	0.858051	0.856851	0.872881	0.871681	0.048729	0.048729	0.048729	0.048729	0.04661	0.04661	0.036017	0.036017	0.03178	0.03178	0.063559	0.063559	0.067797	0.067797	0.065678	0.065678	0.052966	0.052966	0.027542	0.027542
c__Bacilli;	0.222303	0.164817	0.23286	0.177629	0.228856	0.182167	0.212232	0.170208	0.130809	0.107732	0.79238	0.60421	0.834365	0.676421	0.821866	0.675069	0.711807	0.576315	0.681107	0.559407	0.223517	0.184571	0.777818	0.606444	0.817741	0.656792	0.803179	0.657037	0.691421	0.564807	0.667516	0.547785	0.604417	0.496957	0.80597	0.610135	0.848077	0.657196	0.834729	0.673969	0.711685	0.549701	0.710836	0.572753	0.753792	0.569403	0.793229	0.596846	0.780973	0.620453	0.676253	0.504567	0.502002	0.404118	0.805606	0.58181	0.848926	0.624754	0.834729	0.652428	0.580027	0.448601	0.234923	0.189951
c__bacterium_GBS-1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Bacteroidia;	0.395864	0.301155	0.416649	0.332055	0.408543	0.337623	0.397111	0.329859	0.3598	0.302193	0.885419	0.68422	0.931563	0.763048	0.918884	0.764373	0.862243	0.708245	0.81033	0.675292	0.539597	0.449661	0.888433	0.727856	0.935097	0.773838	0.920339	0.765731	0.832571	0.692226	0.852785	0.709751	0.788506	0.657311	0.866972	0.70039	0.912856	0.743424	0.897267	0.743291	0.774631	0.628852	0.84577	0.699504	0.01798	0.006707	0.018759	0.008481	0.018343	0.012605	0.017148	0.005979	0.011328	0.008475	0.293858	0.208771	0.309707	0.224207	0.305446	0.237705	0.233839	0.181223	0.126377	0.09977
c__BD2-11_terrestrial_group;	0.436364	0.431818	0.45	0.45	0.459091	0.459091	0.422727	0.422727	0.05	0.05	0.927273	0.918846	0.945455	0.945455	0.922727	0.922727	0.877273	0.877273	0.8	0.8	0.05	0.05	0.886364	0.886364	0.927273	0.927273	0.904545	0.904545	0.822727	0.822727	0.863636	0.863636	0.727273	0.727273	0.877273	0.877273	0.927273	0.927273	0.909091	0.909091	0.868182	0.868182	0.836364	0.836364	0.909091	0.900664	0.972727	0.9643	0.936364	0.936364	0.831818	0.823391	0.777273	0.777273	0.881818	0.846782	0.945455	0.937692	0.940909	0.940909	0.818182	0.818182	0.531818	0.531818
c__BD7-11;	0.447761	0.432836	0.462687	0.447762	0.432836	0.432836	0	0	0.223881	0.223881	0.895522	0.806304	0.940299	0.940299	0.940299	0.940299	0.820896	0.820896	0.880597	0.880597	0.253731	0.253731	0.865672	0.865672	0.910448	0.910448	0.880597	0.880597	0.880597	0.880597	0.835821	0.835821	0.701493	0.701493	0.955224	0.955224	0.970149	0.970149	0.940299	0.940299	0.910448	0.910448	0.910448	0.910448	0.358209	0.358209	0.358209	0.358209	0.358209	0.358209	0.343284	0.343284	0.283582	0.283582	0.029851	0.029851	0.029851	0.029851	0.029851	0.029851	0.029851	0.029851	0.029851	0.029851
c__Berkelbacteria;	0.407407	0.407407	0.425926	0.425926	0.388889	0.388889	0.203704	0.203704	0.166667	0.166667	0.87037	0.87037	0.888889	0.888889	0.888889	0.888889	0.5	0.5	0.796296	0.796296	0.592593	0.592593	0.555556	0.555556	0.592593	0.592593	0.555556	0.555556	0.518519	0.518519	0.518519	0.518519	0.018519	0.018519	0.722222	0.722222	0.722222	0.722222	0.703704	0.703704	0.666667	0.666667	0.018519	0.018519	0	0	0	0	0	0	0	0	0	0	0.074074	0.074074	0.074074	0.074074	0.074074	0.074074	0.037037	0.037037	0	0
c__Blastocatellia_(Subgroup_4);	0.319264	0.240665	0.333333	0.265992	0.324675	0.266696	0.314935	0.259792	0.269481	0.221235	0.924242	0.734011	0.975108	0.79783	0.959957	0.810526	0.901515	0.74156	0.850649	0.720969	0.529221	0.44447	0.882035	0.717435	0.935065	0.771137	0.922078	0.774578	0.854978	0.717942	0.871212	0.734129	0.735931	0.615768	0.872294	0.697722	0.912338	0.736725	0.899351	0.74939	0.866883	0.694997	0.82684	0.680009	0.863636	0.643135	0.90368	0.680339	0.887446	0.719117	0.79329	0.578904	0.615801	0.508891	0.911255	0.570054	0.94697	0.659012	0.937229	0.771723	0.692641	0.558113	0.433983	0.358292
c__BMS9AB35;	0.25	0.25	0.25	0.25	0.2	0.2	0.25	0.25	0.2	0.2	0.95	0.95	0.95	0.95	0.95	0.95	1	1	0.95	0.95	0.05	0.05	0.95	0.95	0.95	0.95	1	1	1	1	1	1	0.85	0.85	0.95	0.95	1	1	1	1	1	1	0.9	0.9	0.85	0.8	0.95	0.9	0.95	0.9	0.8	0.75	0.8	0.8	0.9	0.85	0.9	0.85	0.9	0.9	0.8	0.8	0.45	0.45
c__Brachyspirae;	0.137255	0.133551	0.137255	0.133551	0.137255	0.133551	0.117647	0.113943	0.137255	0.133551	0.980392	0.950761	0.960784	0.931152	0.980392	0.950761	0.823529	0.793898	0.72549	0.703267	0.627451	0.608931	0.843137	0.81721	0.921569	0.891938	0.921569	0.891938	0.705882	0.679954	0.862745	0.836818	0.72549	0.703267	0.882353	0.856426	0.921569	0.895642	0.862745	0.836818	0.843137	0.81721	0.843137	0.820914	0.019608	0.019608	0.019608	0.019608	0.019608	0.019608	0	0	0	0	0.882353	0.772362	0.901961	0.827482	0.862745	0.840522	0.803922	0.765794	0.058824	0.051416
c__BRH-c20a;	0.56	0.525842	0.56	0.525842	0.6	0.6	0.56	0.56	0.44	0.44	0.88	0.709211	0.96	0.857527	0.96	0.96	0.76	0.725843	0.88	0.88	0.56	0.56	0.88	0.88	0.96	0.96	0.96	0.96	0.88	0.88	0.84	0.84	0.92	0.92	0.88	0.88	1	1	0.96	0.96	0.76	0.76	0.92	0.92	0.2	0.2	0.24	0.24	0.24	0.24	0.2	0.2	0.24	0.24	1	1	1	1	1	1	0.92	0.92	0.48	0.48
c__Brocadiae;	0.157143	0.135554	0.157143	0.135554	0.157143	0.135554	0.014286	0.011587	0.1	0.08111	0.628571	0.504131	0.628571	0.528932	0.628571	0.531562	0.571429	0.479886	0.585714	0.4968	0.014286	0.014286	0.885714	0.750924	0.928571	0.785686	0.9	0.762512	0.871429	0.73664	0.057143	0.051746	0.771429	0.644735	0.842857	0.708067	0.928571	0.780288	0.914286	0.768702	0.071429	0.066032	0.857143	0.719655	0.5	0.398707	0.528571	0.433467	0.528571	0.433467	0.457143	0.358548	0.371429	0.306802	0.042857	0.011587	0.042857	0.011587	0.042857	0.034761	0	0	0	0
c__c5LKS83;	0.428571	0.428571	0.428571	0.428571	0.428571	0.428571	0.428571	0.428571	0.285714	0.285714	1	1	1	1	0.857143	0.857143	1	1	0.714286	0.714286	0.571429	0.571429	1	1	1	1	1	1	0.857143	0.857143	0.857143	0.857143	1	1	0.857143	0.857143	0.857143	0.857143	0.857143	0.857143	0.857143	0.857143	0.714286	0.714286	0.857143	0.857143	1	1	1	1	0.857143	0.857143	0.428571	0.428571	1	1	1	1	1	1	0.714286	0.714286	0.714286	0.714286
c__Caldatribacteriia;	0.333333	0.202775	0.375	0.236571	0.375	0.270367	0.333333	0.23657	0.166667	0.101388	0.833333	0.473141	0.958333	0.608325	0.958333	0.777304	0.875	0.574529	0.916667	0.743509	0.333333	0.270366	0.875	0.709713	0.916667	0.743509	0.916667	0.743509	0.833333	0.675916	0.791667	0.642121	0.541667	0.439346	0.916667	0.40555	0.958333	0.709713	1	0.8111	0.958333	0.473141	0.833333	0.675916	0.291667	0.236571	0.291667	0.236571	0.291667	0.236571	0.25	0.202775	0.291667	0.236571	0.583333	0.371754	0.583333	0.371754	0.583333	0.439345	0.5	0.337958	0.291667	0.202775
c__Caldisericia;	0.358491	0.300417	0.377358	0.338152	0.339623	0.300417	0.396226	0.353456	0	0	0.90566	0.822637	0.924528	0.837941	0.943396	0.872113	0.09434	0.09434	0.735849	0.678823	0.301887	0.266245	0.056604	0.056604	0.09434	0.09434	0.09434	0.09434	0.09434	0.09434	0.09434	0.09434	0.056604	0.056604	0.811321	0.747167	0.849057	0.781338	0.811321	0.747167	0.830189	0.766034	0.396226	0.364149	0.018868	0.018868	0.018868	0.018868	0.018868	0.018868	0.018868	0.018868	0.018868	0.018868	0.09434	0.075472	0.09434	0.075472	0.075472	0.075472	0.075472	0.075472	0.018868	0.018868
c__Calditrichia;	0.329787	0.282681	0.329787	0.292315	0.319149	0.283686	0.308511	0.274053	0.244681	0.218556	0.851064	0.761099	0.925532	0.837846	0.893617	0.812255	0.851064	0.771391	0.808511	0.737171	0.207447	0.192375	0.87766	0.802352	0.941489	0.861132	0.930851	0.853482	0.888298	0.811935	0.87234	0.797986	0.755319	0.691013	0.893617	0.78235	0.93617	0.823872	0.930851	0.828187	0.824468	0.728837	0.824468	0.731851	0.808511	0.734571	0.845745	0.773105	0.840426	0.773105	0.765957	0.695032	0.632979	0.582739	0.925532	0.802595	0.973404	0.843139	0.968085	0.875054	0.803191	0.721923	0.340426	0.308273
c__Calescibacteriia;	0.333333	0.333333	0.333333	0.333333	0.333333	0.333333	0.333333	0.333333	0.333333	0.333333	0.333333	0.333333	0.666667	0.666667	0.333333	0.333333	0.666667	0.666667	0	0	0	0	0.666667	0.666667	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Campylobacteria;	0.40122	0.293543	0.42561	0.328893	0.421951	0.336478	0.40061	0.319088	0.37378	0.301071	0.912195	0.651884	0.962805	0.753903	0.948171	0.769294	0.869512	0.68237	0.829268	0.674185	0.029268	0.023739	0.893902	0.712494	0.940854	0.757585	0.929878	0.754601	0.85061	0.689691	0.034756	0.027201	0.07439	0.061295	0.871951	0.684246	0.92622	0.729706	0.905488	0.730366	0.031707	0.01688	0.075	0.058495	0.029878	0.015246	0.031098	0.016386	0.030488	0.021267	0.02439	0.01144	0.022561	0.01731	0.89939	0.656438	0.944512	0.714441	0.934146	0.737562	0.809146	0.638487	0.478659	0.382849
c__Candidatus_Edwardsbacteria_bacterium_RifOxyB12_full_52_30;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0.5	0.5	1	1	1	1	1	1	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0.5	0.5	1	1	1	1	1	1	1	1	1	1	0.5	0.5
c__Candidatus_Fervidibacter_sacchari_JGI_OTU-1;	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
c__Candidatus_Firestonebacteria_bacterium_RIFOXYD2_FULL_39_29;	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0	0	1	1	1	1	1	1	0.5	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0.5	0.5
c__Candidatus_Lindowbacteria_bacterium_RIFCSPLOWO2_12_FULL_62_27;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Chitinivibrionia;	0.204545	0.200252	0.25	0.241414	0.25	0.241414	0.136364	0.127778	0.227273	0.218687	0.5	0.440006	0.522727	0.466915	0.522727	0.466915	0.477273	0.421462	0.409091	0.366159	0.204545	0.204545	0.795455	0.731057	0.886364	0.821966	0.886364	0.821966	0.818182	0.758078	0.431818	0.431818	0.568182	0.546716	0.863636	0.803531	0.909091	0.848986	0.909091	0.848986	0.477273	0.477273	0.681818	0.656059	0.840909	0.789391	0.909091	0.85328	0.886364	0.830552	0.659091	0.637625	0.613636	0.59217	0.886364	0.817673	0.931818	0.86742	0.931818	0.86742	0.727273	0.688634	0.318182	0.318182
c__Chlamydiae;	0.025	0.016827	0.025	0.016827	0.025	0.016827	0	0	0	0	0.88125	0.748126	0.90625	0.782096	0.89375	0.773515	0.0125	0.007838	0.8625	0.748107	0	0	0.0125	0.007838	0.0125	0.007838	0.0125	0.007838	0.0125	0.007838	0	0	0.00625	0.003919	0.94375	0.821184	0.96875	0.841522	0.95625	0.831353	0.00625	0.005069	0.88125	0.772669	0.68125	0.578639	0.69375	0.589959	0.69375	0.59577	0.625	0.527051	0.5	0.42769	0.86875	0.759019	0.9125	0.798107	0.9125	0.801588	0.75	0.663577	0.38125	0.341504
c__Chlorobia;	0.526316	0.417209	0.526316	0.423666	0.526316	0.423666	0.508772	0.409436	0	0	0.859649	0.671432	0.877193	0.708262	0.877193	0.708262	0	0	0.824561	0.665572	0.54386	0.437896	0.017544	0.01423	0.017544	0.01423	0.017544	0.01423	0	0	0.017544	0.01423	0.017544	0.01423	0.912281	0.714123	0.947368	0.755496	0.947368	0.765182	0.807018	0.644886	0.877193	0.708262	0.859649	0.628008	0.842105	0.625446	0.807018	0.607988	0.77193	0.556859	0.736842	0.565298	0.859649	0.549821	0.912281	0.584653	0.894737	0.653239	0.789474	0.553631	0.54386	0.431439
